timestep,time,golf_0,sprinter_0
261,2023-01-03 17:15:00,0.4814600497534595,0.40052545395455486
262,2023-01-03 17:30:00,0.4814600497534595,0.39629283437427637
263,2023-01-03 17:45:00,0.4814600497534595,0.43066783437427636
264,2023-01-03 18:00:00,0.4814600497534595,0.43066783437427636
265,2023-01-03 18:15:00,0.4814600497534595,0.43066783437427636
266,2023-01-03 18:30:00,0.4814600497534595,0.43066783437427636
267,2023-01-03 18:45:00,0.4814600497534595,0.43066783437427636
268,2023-01-03 19:00:00,0.4814600497534595,0.43066783437427636
269,2023-01-03 19:15:00,0.4814600497534595,0.43066783437427636
270,2023-01-03 19:30:00,0.4814600497534595,0.43066783437427636
271,2023-01-03 19:45:00,0.4814600497534595,0.43066783437427636
272,2023-01-03 20:00:00,0.4814600497534595,0.43066783437427636
273,2023-01-03 20:15:00,0.4814600497534595,0.43066783437427636
274,2023-01-03 20:30:00,0.4814600497534595,0.43066783437427636
275,2023-01-03 20:45:00,0.4814600497534595,0.43066783437427636
276,2023-01-03 21:00:00,0.4814600497534595,0.43066783437427636
277,2023-01-03 21:15:00,0.4814600497534595,0.43066783437427636
278,2023-01-03 21:30:00,0.4814600497534595,0.43066783437427636
279,2023-01-03 21:45:00,0.4814600497534595,0.43066783437427636
280,2023-01-03 22:00:00,0.4814600497534595,0.43066783437427636
281,2023-01-03 22:15:00,0.4814600497534595,0.43066783437427636
282,2023-01-03 22:30:00,0.4814600497534595,0.43066783437427636
283,2023-01-03 22:45:00,0.4814600497534595,0.43066783437427636
284,2023-01-03 23:00:00,0.4814600497534595,0.43066783437427636
285,2023-01-03 23:15:00,0.4814600497534595,0.43066783437427636
286,2023-01-03 23:30:00,0.4814600497534595,0.43066783437427636
287,2023-01-03 23:45:00,0.4814600497534595,0.43066783437427636
288,2023-01-04 00:00:00,0.4814600497534595,0.43066783437427636
289,2023-01-04 00:15:00,0.4814600497534595,0.43066783437427636
290,2023-01-04 00:30:00,0.4814600497534595,0.43066783437427636
291,2023-01-04 00:45:00,0.4814600497534595,0.43066783437427636
292,2023-01-04 01:00:00,0.4814600497534595,0.43066783437427636
293,2023-01-04 01:15:00,0.4814600497534595,0.43066783437427636
294,2023-01-04 01:30:00,0.4814600497534595,0.43066783437427636
295,2023-01-04 01:45:00,0.4814600497534595,0.43066783437427636
296,2023-01-04 02:00:00,0.4814600497534595,0.43066783437427636
297,2023-01-04 02:15:00,0.4814600497534595,0.43066783437427636
298,2023-01-04 02:30:00,0.4814600497534595,0.43066783437427636
299,2023-01-04 02:45:00,0.4814600497534595,0.43066783437427636
300,2023-01-04 03:00:00,0.4814600497534595,0.43066783437427636
301,2023-01-04 03:15:00,0.4814600497534595,0.43066783437427636
302,2023-01-04 03:30:00,0.4814600497534595,0.43066783437427636
303,2023-01-04 03:45:00,0.4814600497534595,0.43066783437427636
304,2023-01-04 04:00:00,0.4814600497534595,0.43066783437427636
305,2023-01-04 04:15:00,0.4814600497534595,0.43066783437427636
306,2023-01-04 04:30:00,0.4814600497534595,0.43066783437427636
307,2023-01-04 04:45:00,0.4814600497534595,0.43066783437427636
308,2023-01-04 05:00:00,0.4814600497534595,0.43066783437427636
309,2023-01-04 05:15:00,0.4814600497534595,0.43066783437427636
310,2023-01-04 05:30:00,0.4814600497534595,0.43066783437427636
311,2023-01-04 05:45:00,0.4814600497534595,0.43066783437427636
312,2023-01-04 06:00:00,0.4814600497534595,0.43066783437427636
313,2023-01-04 06:15:00,0.4814600497534595,0.43066783437427636
314,2023-01-04 06:30:00,0.4814600497534595,0.43066783437427636
315,2023-01-04 06:45:00,0.4814600497534595,0.43066783437427636
316,2023-01-04 07:00:00,0.4814600497534595,0.43066783437427636
317,2023-01-04 07:15:00,0.4814600497534595,0.43066783437427636
318,2023-01-04 07:30:00,0.4814600497534595,0.43066783437427636
319,2023-01-04 07:45:00,0.4814600497534595,0.43066783437427636
320,2023-01-04 08:00:00,0.4814600497534595,0.43066783437427636
321,2023-01-04 08:15:00,0.4814600497534595,0.43066783437427636
322,2023-01-04 08:30:00,0.4814600497534595,0.4263249316629526
323,2023-01-04 08:45:00,0.4814600497534595,0.42198202895162884
324,2023-01-04 09:00:00,0.4814600497534595,0.4176391262403051
325,2023-01-04 09:15:00,0.4814600497534595,0.4132962235289813
326,2023-01-04 09:30:00,0.4814600497534595,0.40895332081765756
327,2023-01-04 09:45:00,0.4814600497534595,0.40461041810633375
328,2023-01-04 10:00:00,0.4814600497534595,0.40026751539501
329,2023-01-04 10:15:00,0.4814600497534595,0.39592461268368623
330,2023-01-04 10:30:00,0.4814600497534595,0.39158170997236247
331,2023-01-04 10:45:00,0.4814600497534595,0.3872388072610387
332,2023-01-04 11:00:00,0.4814600497534595,0.38289590454971495
333,2023-01-04 11:15:00,0.4814600497534595,0.3785530018383912
334,2023-01-04 11:30:00,0.4814600497534595,0.37421009912706743
335,2023-01-04 11:45:00,0.4814600497534595,0.36986719641574367
336,2023-01-04 12:00:00,0.4814600497534595,0.36552429370441986
337,2023-01-04 12:15:00,0.4814600497534595,0.3611813909930961
338,2023-01-04 12:30:00,0.4814600497534595,0.35683848828177234
339,2023-01-04 12:45:00,0.4814600497534595,0.3524955855704486
340,2023-01-04 13:00:00,0.4814600497534595,0.3481526828591248
341,2023-01-04 13:15:00,0.4814600497534595,0.34380978014780106
342,2023-01-04 13:30:00,0.4814600497534595,0.3394668774364773
343,2023-01-04 13:45:00,0.4814600497534595,0.33512397472515354
344,2023-01-04 14:00:00,0.4814600497534595,0.3307810720138298
345,2023-01-04 14:15:00,0.4814600497534595,0.326438169302506
346,2023-01-04 14:30:00,0.4814600497534595,0.32209526659118226
347,2023-01-04 14:45:00,0.4814600497534595,0.3177523638798585
348,2023-01-04 15:00:00,0.4814600497534595,0.31340946116853474
349,2023-01-04 15:15:00,0.4814600497534595,0.309066558457211
350,2023-01-04 15:30:00,0.4814600497534595,0.3047236557458872
351,2023-01-04 15:45:00,0.4814600497534595,0.3003807530345634
352,2023-01-04 16:00:00,0.4814600497534595,0.29603785032323965
353,2023-01-04 16:15:00,0.4814600497534595,0.2916949476119159
354,2023-01-04 16:30:00,0.4814600497534595,0.28735204490059213
355,2023-01-04 16:45:00,0.4814600497534595,0.28735204490059213
356,2023-01-04 17:00:00,0.4814600497534595,0.28735204490059213
357,2023-01-04 17:15:00,0.4814600497534595,0.28735204490059213
358,2023-01-04 17:30:00,0.4814600497534595,0.28735204490059213
359,2023-01-04 17:45:00,0.4814600497534595,0.28735204490059213
360,2023-01-04 18:00:00,0.4814600497534595,0.28735204490059213
361,2023-01-04 18:15:00,0.4814600497534595,0.28735204490059213
362,2023-01-04 18:30:00,0.4814600497534595,0.28735204490059213
363,2023-01-04 18:45:00,0.4814600497534595,0.28735204490059213
364,2023-01-04 19:00:00,0.4814600497534595,0.28735204490059213
365,2023-01-04 19:15:00,0.4814600497534595,0.28735204490059213
366,2023-01-04 19:30:00,0.4814600497534595,0.28735204490059213
367,2023-01-04 19:45:00,0.4814600497534595,0.28735204490059213
368,2023-01-04 20:00:00,0.4814600497534595,0.28735204490059213
369,2023-01-04 20:15:00,0.4814600497534595,0.28735204490059213
370,2023-01-04 20:30:00,0.4814600497534595,0.28735204490059213
371,2023-01-04 20:45:00,0.4814600497534595,0.28735204490059213
372,2023-01-04 21:00:00,0.4814600497534595,0.28735204490059213
373,2023-01-04 21:15:00,0.4814600497534595,0.28735204490059213
374,2023-01-04 21:30:00,0.4814600497534595,0.28735204490059213
375,2023-01-04 21:45:00,0.4814600497534595,0.28735204490059213
376,2023-01-04 22:00:00,0.4814600497534595,0.28735204490059213
377,2023-01-04 22:15:00,0.4814600497534595,0.28735204490059213
378,2023-01-04 22:30:00,0.4814600497534595,0.28735204490059213
379,2023-01-04 22:45:00,0.4814600497534595,0.28735204490059213
380,2023-01-04 23:00:00,0.4814600497534595,0.28735204490059213
381,2023-01-04 23:15:00,0.4814600497534595,0.28735204490059213
382,2023-01-04 23:30:00,0.4814600497534595,0.28735204490059213
383,2023-01-04 23:45:00,0.4814600497534595,0.28735204490059213
384,2023-01-05 00:00:00,0.4814600497534595,0.28735204490059213
385,2023-01-05 00:15:00,0.4814600497534595,0.28735204490059213
386,2023-01-05 00:30:00,0.4814600497534595,0.28735204490059213
387,2023-01-05 00:45:00,0.4814600497534595,0.28735204490059213
388,2023-01-05 01:00:00,0.4814600497534595,0.28735204490059213
389,2023-01-05 01:15:00,0.4814600497534595,0.28735204490059213
390,2023-01-05 01:30:00,0.4814600497534595,0.28735204490059213
391,2023-01-05 01:45:00,0.4814600497534595,0.28735204490059213
392,2023-01-05 02:00:00,0.4814600497534595,0.28735204490059213
393,2023-01-05 02:15:00,0.4814600497534595,0.28735204490059213
394,2023-01-05 02:30:00,0.4814600497534595,0.28735204490059213
395,2023-01-05 02:45:00,0.4814600497534595,0.28735204490059213
396,2023-01-05 03:00:00,0.4814600497534595,0.28735204490059213
397,2023-01-05 03:15:00,0.4814600497534595,0.28735204490059213
398,2023-01-05 03:30:00,0.4814600497534595,0.28735204490059213
399,2023-01-05 03:45:00,0.4814600497534595,0.28735204490059213
400,2023-01-05 04:00:00,0.4814600497534595,0.28735204490059213
401,2023-01-05 04:15:00,0.4814600497534595,0.28735204490059213
402,2023-01-05 04:30:00,0.4814600497534595,0.28735204490059213
403,2023-01-05 04:45:00,0.4814600497534595,0.28735204490059213
404,2023-01-05 05:00:00,0.4814600497534595,0.28735204490059213
405,2023-01-05 05:15:00,0.4814600497534595,0.28735204490059213
406,2023-01-05 05:30:00,0.4814600497534595,0.28735204490059213
407,2023-01-05 05:45:00,0.4814600497534595,0.28735204490059213
408,2023-01-05 06:00:00,0.4814600497534595,0.28735204490059213
409,2023-01-05 06:15:00,0.4814600497534595,0.28735204490059213
410,2023-01-05 06:30:00,0.4814600497534595,0.28735204490059213
411,2023-01-05 06:45:00,0.4814600497534595,0.28735204490059213
412,2023-01-05 07:00:00,0.4814600497534595,0.28735204490059213
413,2023-01-05 07:15:00,0.4814600497534595,0.28735204490059213
414,2023-01-05 07:30:00,0.4814600497534595,0.28735204490059213
415,2023-01-05 07:45:00,0.4814600497534595,0.28735204490059213
416,2023-01-05 08:00:00,0.4814600497534595,0.28735204490059213
417,2023-01-05 08:15:00,0.4814600497534595,0.28735204490059213
418,2023-01-05 08:30:00,0.4814600497534595,0.28735204490059213
419,2023-01-05 08:45:00,None,0.27632901858480263
420,2023-01-05 09:00:00,None,0.2653059922690132
421,2023-01-05 09:15:00,None,0.2542829659532237
422,2023-01-05 09:30:00,None,0.24325993963743422
423,2023-01-05 09:45:00,None,0.23223691332164476
424,2023-01-05 10:00:00,None,0.2212138870058553
425,2023-01-05 10:15:00,None,0.21019086069006582
426,2023-01-05 10:30:00,None,0.19916783437427632
427,2023-01-05 10:45:00,None,0.18814480805848688
428,2023-01-05 11:00:00,None,0.17712178174269738
429,2023-01-05 11:15:00,None,0.1660987554269079
430,2023-01-05 11:30:00,None,0.15507572911111844
